mp_id,formula,host_cation,final_energy_per_atom,formation_energy_per_atom,band_gap,icsd_label,icsd_num,predict_emit,wave
mp-753571,Li1V1F6,V,-5.219197373,-2.97048453,3.0732,FALSE,0,1.94434,637.7486
mp-1206962,Li1Ta1F6,Ta,-6.39122406,-3.583277272,6.1518,FALSE,0,1.94434,637.7486
mp-1025509,Zr1Zn1F6,Zr,-5.820430448,-3.507390692,6.1509,FALSE,0,1.94597,637.21508
mp-1111287,Li3Mo1F6,Mo,-4.964949429,-2.758220885,2.9152,FALSE,0,1.9474,636.74571
mp-1078799,Li1Nb1F6,Nb,-5.984402848,-3.396015134,5.1171,TRUE,[165202],1.94765,636.66569
mp-1080679,Li1Ta1F6,Ta,-6.387355256,-3.579408469,6.25,TRUE,[165205],1.94765,636.66569
mp-753604,Li2V2F12,V,-5.214970148,-2.966257305,3.1853,FALSE,0,1.95113,635.52912
mp-1219252,Sc1Tl1F6,Sc,-5.371603404,-3.197605147,3.9839,FALSE,0,1.95143,635.43035
mp-1111095,Na1Li2Rh1F6,Na,-4.487752077,-2.367596807,2.007,FALSE,0,1.95228,635.1558
mp-1111098,Na1Li2Mo1F6,Na,-4.828733965,-2.680645179,2.4654,FALSE,0,1.95401,634.59111
mp-1111887,Na1Li2As1F6,Na,-4.363576534,-2.51394021,3.6287,FALSE,0,1.95401,634.59111
mp-1111098,Na1Li2Mo1F6,Mo,-4.828733965,-2.680645179,2.4654,FALSE,0,1.95438,634.473
mp-1539332,Ti1Zn1F6,Ti,-5.556327466,-3.324813787,4.1957,FALSE,0,1.95502,634.26554
mp-776438,Li4V2F12,V,-5.323736557,-3.112778156,2.37,FALSE,0,1.95573,634.03355
mp-1113433,Na3Sc1F6,Sc,-5.320512749,-3.42082087,5.5912,FALSE,0,1.95722,633.55299
mvc-13940,Mg1Mo1F6,Mo,-5.422392988,-3.179793377,2.4449,FALSE,0,1.95729,633.52936
mp-1111073,Li3Y1F6,Y,-5.417086714,-3.328075362,5.3141,FALSE,0,1.95735,633.50906
mp-29993,Ta2Ag2F12,Ta,-5.980600524,-3.057199595,3.5784,TRUE,[411796],1.95806,633.27829
mp-1113900,Na2Li1Sc1F6,Sc,-5.446274702,-3.487943066,6.0589,FALSE,0,1.9581,633.26849
mp-1025460,Mg1Zr1F6,Zr,-6.345951165,-3.990344354,6.5441,FALSE,0,1.95859,633.10803
mp-623024,Ti1Cd1F6,Ti,-5.472937013,-3.283530065,4.4382,TRUE,[16233],1.95976,632.73214
mp-4782,Ca1Sn1F6,Ca,-5.240895711,-3.401890019,5.418,TRUE,"[35722, 35723]",1.96041,632.52152
mp-27315,Ca1Ti1F6,Ti,-6.298150334,-3.973404621,4.5826,FALSE,0,1.96101,632.32599
mp-765804,Li6V1F8,V,-5.105236453,-3.076351452,3.5211,FALSE,0,1.96114,632.28543
mp-1200267,Li8Ti8N8F48,Ti,-5.378719764,-2.396743807,2.583,TRUE,[39926],1.96183,632.06305
mp-1211385,La2Zr2F14,Zr,-6.871737726,-4.246175447,6.0295,FALSE,0,1.96195,632.02286
mp-1211388,La2Hf2F14,Hf,-7.118641391,-4.33646931,6.3047,FALSE,0,1.96195,632.02286
mp-753212,Li1V1F6,V,-5.161891378,-2.913178535,3.2532,FALSE,0,1.96198,632.01558
mp-1209283,Pr2Zr2F14,Zr,-6.820063596,-4.211735535,5.9474,FALSE,0,1.9623,631.91311
mvc-15846,Ca1W1F6,Ca,-5.771954904,-3.369129884,3.74,FALSE,0,1.96236,631.89327
mp-8224,Ca1Sn1F6,Ca,-5.242328706,-3.403323014,5.3881,TRUE,[35713],1.96321,631.61851
mp-4002,Li2Zr1F6,Zr,-6.021362519,-3.681093611,6.481,TRUE,"[16793, 2644]",1.96338,631.5651
mp-11980,Cs1Nb1F6,Nb,-5.894298185,-3.432600533,5.2111,TRUE,"[183851, 412444]",1.96485,631.09127
mp-753694,Li1V1F6,V,-5.171098181,-2.922385339,3.2309,FALSE,0,1.96495,631.05874
mp-1111271,K2Li1Mo1F6,Mo,-5.048836603,-3.001812843,4.4161,FALSE,0,1.96541,630.9111
mp-1207968,Tm2Hf2F14,Hf,-7.060701831,-4.329659937,6.8844,FALSE,0,1.96552,630.87646
mp-557686,Zr1V1F6,Zr,-6.757419319,-3.678859256,2.416,TRUE,"[94454, 73354]",1.96593,630.74536
mp-557938,Hf1V1F6,Hf,-7.032645636,-3.777899546,3.2301,TRUE,[94455],1.96593,630.74536
mp-1208269,Tb2Zr2F14,Zr,-6.826852554,-4.234805943,5.9384,FALSE,0,1.96603,630.71125
mp-1210837,Lu2Hf2F14,Hf,-7.059605913,-4.32355123,6.9578,FALSE,0,1.9664,630.59494
mp-757163,Li1V1F6,V,-5.193752556,-2.945039714,3.1595,FALSE,0,1.96667,630.50896
mp-1111028,Na2Li1Y1F6,Y,-5.419139391,-3.447407554,5.4306,FALSE,0,1.9667,630.4984
mp-7305,Sm2Zr2F14,Zr,-6.827972082,-4.226567689,5.8986,TRUE,[2874],1.9668,630.46629
mvc-14834,Ca1Ti1F6,Ti,-6.289631859,-3.964886146,4.7129,FALSE,0,1.967,630.40304
mp-759647,Li4W4F24,W,-5.307147182,-2.916406789,3.4687,FALSE,0,1.96702,630.39365
mp-1224622,Gd2Zr6F30,Zr,-7.336689156,-4.101878175,4.7385,FALSE,0,1.96709,630.37203
mp-1208332,Tb2Hf2F14,Hf,-7.072839421,-4.324183007,6.8555,FALSE,0,1.96724,630.32502
mp-1207764,W1N3F6,W,-4.625940428,-0.403291923,2.6671,FALSE,0,1.96734,630.29178
mp-27313,Nb4Se4F36,Nb,-5.214382606,-2.792334677,5.0491,TRUE,[9898],1.96737,630.28282
mp-1212491,Hf4N4F20,Hf,-6.25577828,-2.607052764,2.5976,FALSE,0,1.96743,630.2638
mp-505113,Ti2Sn12F32,Ti,-5.234549245,-2.836958522,2.7043,TRUE,[71234],1.96766,630.19103
mp-1222422,Lu2Zr6F30,Zr,-6.851861062,-4.119953856,5.555,FALSE,0,1.96771,630.17539
mp-1219817,Pr2Zr6F30,Zr,-6.84662189,-4.101033177,5.6568,FALSE,0,1.96775,630.16206
mp-1211094,Li2Ca2V2F12,Ca,-5.789876924,-3.568176633,2.6299,FALSE,0,1.96788,630.11893
mp-1205684,K1Sc1Tl2F6,Sc,-5.221872062,-3.135369247,4.8477,FALSE,0,1.96804,630.06809
mp-1209160,Rb2Sc2F8,Sc,-6.098287153,-3.913133979,5.9581,FALSE,0,1.96821,630.0156
mp-1212387,Gd2Hf2F14,Hf,-8.087721013,-4.289980584,4.4446,FALSE,0,1.96822,630.01057
mp-759960,Li6V6F36,V,-5.186730919,-2.938018076,2.4584,FALSE,0,1.96827,629.99327
mp-7922,Ca1Pd1F6,Ca,-4.6028249,-2.617530463,2.1437,TRUE,[26164],1.96834,629.97221
mp-22439,Li4Mo2F12,Mo,-5.216219283,-2.97640122,2.274,TRUE,[74565],1.96838,629.95889
mp-753861,Li4V2F12,V,-5.362058414,-3.151100014,2.1707,TRUE,[290252],1.96838,629.95889
mp-7603,Li4Ti2F12,Ti,-5.799420784,-3.5316195,4.3895,TRUE,[18313],1.96838,629.95889
mp-1110635,Na3Mo1F6,Mo,-4.839717005,-2.808907733,2.6015,FALSE,0,1.96839,629.95637
mp-755629,Li2V2F8,V,-5.727381778,-3.212257643,2.0607,FALSE,0,1.96839,629.95565
mp-18506,Sm4Zr4F28,Zr,-6.830321331,-4.228916938,6.0647,TRUE,[74961],1.9684,629.95479
mp-1207980,Tm2Zr2F14,Zr,-6.814521418,-4.240089326,5.8705,FALSE,0,1.96847,629.92988
mp-1210678,Lu2Zr2F14,Zr,-6.813451367,-4.234006487,5.8374,FALSE,0,1.96847,629.92988
mp-27315,Ca1Ti1F6,Ca,-6.298150334,-3.973404621,4.5826,FALSE,0,1.96849,629.92311
mp-753573,Li2V2F12,V,-5.194457228,-2.945744385,3.0818,FALSE,0,1.96864,629.87697
mp-1176528,Li2V2F12,V,-5.168470636,-2.919757793,3.3869,FALSE,0,1.96892,629.7868
mp-1209889,Nd2Hf2F14,Hf,-7.069485369,-4.305964832,6.8273,FALSE,0,1.96898,629.76614
mvc-10429,Ba4Ta4F28,Ta,-6.438664305,-3.780541946,3.9804,FALSE,0,1.96899,629.76544
mvc-10634,Ba4W4F28,W,-5.531690068,-3.244417838,3.276,FALSE,0,1.96899,629.76544
mp-1208876,Sm2Hf2F14,Hf,-7.071396908,-4.313382713,6.8303,FALSE,0,1.96899,629.76517
mp-10103,Li2Yb2Al2F12,Yb,-5.730823577,-3.965159046,7.692,TRUE,[411131],1.96903,629.75238
mp-1209895,Nd2Zr2F14,Zr,-6.823420794,-4.21651006,5.9106,FALSE,0,1.9691,629.72981
mp-1025456,Ca1Zr1F6,Ca,-6.55304378,-4.146771991,6.6538,FALSE,0,1.96934,629.65366
mvc-14678,Mg1Ti1F6,Ti,-6.074720976,-3.800640242,4.6176,FALSE,0,1.9694,629.6343
mp-753338,Li1V1F4,V,-5.666050667,-3.150926532,2.1698,FALSE,0,1.96948,629.60923
